FD_ID	FD_length	S_Start	S_End	Score	Family_Link
90002	287	91	125	24	M_10ab1
90002	287	238	266	27	M_10ab1
90002	287	9	88	25	M_10ab1
90002	287	12	265	93	M_10ab1
90002	287	4	265	122	M_10ab1
90002	287	3	267	95	M_10ab1
90002	287	3	278	178	M_10ab1
90002	287	475	494	22	M_10ab1
90002	287	1	285	345	M_10ab1
90002	287	304	316	21	M_10ab1
90002	287	11	282	195	M_10ab1
90002	287	1	287	396	M_10ab1
90002	287	152	190	22	M_10ab1
90002	287	3	108	136	M_10ab1
90002	287	1	287	348	M_10ab1
90002	287	18	34	20	M_10ab1
90002	287	16	33	21	M_10ab1
90002	287	16	40	21	M_10ab1
90002	287	28	37	22	M_10ab1
90002	287	18	79	23	M_10ab1
90002	287	119	158	21	M_10ab1
90002	287	1	265	96	M_10ab1
90002	287	27	49	22	M_10ab1
90002	287	39	81	23	M_10ab1
90002	287	97	130	21	M_10ab1
90002	287	26	60	21	M_10ab1
90002	287	109	287	179	M_10ab1
90002	287	88	241	66	M_10ab1
90002	287	21	88	24	M_10ab1
90002	287	24	49	21	M_10ab1
90002	287	9	35	21	M_10ab1
90002	287	45	58	21	M_10ab1
90002	287	86	116	23	M_10ab1
90002	287	30	67	21	M_10ab1
90002	287	77	108	26	M_10ab1
90002	287	1	107	49	M_10ab1
90002	287	1	265	99	M_10ab1
90002	287	52	67	21	M_10ab1
90002	287	102	154	22	M_10ab1
90002	287	124	141	21	M_10ab1
90003	336	61	74	21	M_10ab2
90003	336	50	68	22	M_10ab2
90003	336	15	335	396	M_10ab2
90003	336	19	25	22	M_10ab2
90003	336	35	69	21	M_10ab2
90003	336	4	267	96	M_10ab2
90003	336	165	197	27	M_10ab2
90003	336	4	32	22	M_10ab2
90003	336	11	28	23	M_10ab2
90003	336	225	245	22	M_10ab2
90003	336	72	120	22	M_10ab2
90003	336	59	115	22	M_10ab2
90003	336	1	336	411	M_10ab2
90003	336	88	120	25	M_10ab2
90003	336	12	267	73	M_10ab2
90003	336	40	100	21	M_10ab2
90003	336	98	174	29	M_10ab2
90003	336	11	28	20	M_10ab2
90003	336	13	335	163	M_10ab2
90003	336	3	267	74	M_10ab2
90003	336	18	57	24	M_10ab2
90003	336	132	170	22	M_10ab2
90003	336	51	91	22	M_10ab2
90003	336	7	22	21	M_10ab2
90003	336	32	78	26	M_10ab2
90003	336	28	62	22	M_10ab2
90003	336	1	336	413	M_10ab2
90003	336	12	266	89	M_10ab2
90003	336	1	336	413	M_10ab2
90003	336	72	99	21	M_10ab2
90003	336	361	370	21	M_10ab2
90003	336	13	330	171	M_10ab2
90003	336	12	267	112	M_10ab2
90003	336	32	52	21	M_10ab2
90003	336	7	25	22	M_10ab2
90003	336	20	25	20	M_10ab2
90003	336	8	265	88	M_10ab2
90004	287	4	20	21	M_10aa1
90004	287	1	267	76	M_10aa1
90004	287	1	250	70	M_10aa1
90004	287	181	189	21	M_10aa1
90004	287	47	54	22	M_10aa1
90004	287	1	272	194	M_10aa1
90004	287	115	191	21	M_10aa1
90004	287	199	219	25	M_10aa1
90004	287	74	112	21	M_10aa1
90004	287	22	44	21	M_10aa1
90004	287	1	272	186	M_10aa1
90004	287	115	191	21	M_10aa1
90004	287	24	45	20	M_10aa1
90004	287	1	287	308	M_10aa1
90004	287	111	133	22	M_10aa1
90004	287	1	250	70	M_10aa1
90004	287	97	115	20	M_10aa1
90004	287	47	54	22	M_10aa1
90004	287	1	286	226	M_10aa1
90004	287	1	272	186	M_10aa1
90004	287	2	267	84	M_10aa1
90004	287	1	272	198	M_10aa1
90004	287	1	266	89	M_10aa1
90004	287	1	287	260	M_10aa1
90004	287	367	380	22	M_10aa1
90004	287	1	267	87	M_10aa1
90004	287	1	287	246	M_10aa1
90004	287	4	97	22	M_10aa1
90004	287	1	287	301	M_10aa1
90004	287	11	67	20	M_10aa1
90004	287	1	272	199	M_10aa1
90004	287	1	14	19	M_10aa1
90004	287	1	21	20	M_10aa1
90004	287	1	287	246	M_10aa1
90005	305	52	68	23	M_10aa2
90005	305	1	298	274	M_10aa2
90005	305	32	42	20	M_10aa2
90005	305	1	268	241	M_10aa2
90005	305	145	172	21	M_10aa2
90005	305	7	18	20	M_10aa2
90005	305	145	172	21	M_10aa2
90005	305	10	57	20	M_10aa2
90005	305	113	124	21	M_10aa2
90005	305	78	106	22	M_10aa2
90005	305	113	124	21	M_10aa2
90005	305	24	250	66	M_10aa2
90005	305	154	198	23	M_10aa2
90005	305	2	267	85	M_10aa2
90005	305	1	298	274	M_10aa2
90005	305	4	265	87	M_10aa2
90005	305	2	267	85	M_10aa2
90005	305	113	124	21	M_10aa2
90005	305	1	305	245	M_10aa2
90005	305	26	56	23	M_10aa2
90005	305	1	303	319	M_10aa2
90005	305	532	559	23	M_10aa2
90005	305	1	268	188	M_10aa2
90005	305	1	268	211	M_10aa2
90005	305	1	305	298	M_10aa2
90005	305	2	267	85	M_10aa2
90005	305	18	72	22	M_10aa2
90005	305	76	97	24	M_10aa2
90005	305	78	106	22	M_10aa2
90005	305	1	298	274	M_10aa2
90005	305	14	43	21	M_10aa2
90005	305	9	267	86	M_10aa2
90005	305	155	172	23	M_10aa2
90005	305	1	268	220	M_10aa2
90005	305	59	89	22	M_10aa2
90005	305	69	93	23	M_10aa2
90005	305	78	106	22	M_10aa2
90005	305	145	172	21	M_10aa2
90005	305	1	268	220	M_10aa2
90005	305	1	268	220	M_10aa2
90006	298	1	294	178	M_10aa1
90006	298	1	297	290	M_10aa1
90006	298	32	51	22	M_10aa1
90006	298	97	121	21	M_10aa1
90006	298	37	50	23	M_10aa1
90006	298	1	298	358	M_10aa1
90006	298	1	267	103	M_10aa1
